PROGRAM,CGPA_AKHIR,POSTKOD,BANGSA,CACAT,JANTINA,AGAMA,TANGGUNGAN,GAJI,CGPA_MASUK,STATUS_GRAD,HEA_STATUS
BM225,3.14,68100,100,N,P,I,6,5,3.08,LULUS,TM
LG221,2.91,68100,100,N,P,I,6,4,2.34,LULUS,TM
IM227,3.18,68100,100,N,P,I,6,3,3.33,LULUS,TM
MC223,1.25,68100,100,N,L,I,7,4,2.17,GAGAL,D7
BM230,3.32,68100,100,N,P,I,8,2,2.75,LULUS,TM
OM221,3.43,68100,100,N,P,I,8,2,3,LULUS,TM
MC226,2.95,68000,100,N,P,I,1,7,2.25,LULUS,TM
LG221,3.14,68000,100,N,P,I,1,3,2.67,LULUS,TS
MC225,3.28,68000,100,N,P,I,2,3,2,LULUS,TM
IM223,3.55,68000,100,N,P,I,2,1,3.34,LULUS,TS
MC224,3.02,68000,100,N,P,I,2,5,2,LULUS,TM
OM222,3.17,68000,100,N,P,I,2,3,2.75,LULUS,TS
BM230,2.84,68000,100,N,P,I,2,9,2.5,LULUS,TM
IM220,3.12,68000,100,N,P,I,3,4,2.5,LULUS,TM
HM225,3.2,68000,100,N,P,I,3,6,2.83,LULUS,TM
BM223,3.03,68000,100,N,L,I,4,5,2.33,LULUS,TM
BM220,2.73,68000,100,N,P,I,4,2,2.33,LULUS,TM
IM224,3.26,68000,100,N,P,I,4,5,2.67,LULUS,TS
AM228,3.41,68000,100,N,P,I,4,0,3.8,LULUS,TM
MC225,2.92,68000,100,N,P,I,4,6,3,LULUS,TM
IM221,3.02,68000,100,N,P,I,5,3,3.08,LULUS,TM
SR223,2.69,68000,100,N,L,I,5,3,3.8,LULUS,TM
BM226,3.39,68000,100,N,P,I,6,3,2.42,LULUS,TM
BM230,3.27,68000,100,N,P,I,6,4,2.92,LULUS,TS
BM223,2.73,68000,100,N,L,I,6,4,2.5,LULUS,TM
BM226,3.33,68000,100,N,P,I,7,6,3.34,LULUS,TM
BM222,2.93,68000,100,N,P,I,7,4,3,LULUS,TM
IM224,3.31,68000,100,N,P,I,9,1,2.92,LULUS,TS
AD226,2.94,62250,100,N,P,I,1,8,2.25,LULUS,TM
BM220,3.26,62250,100,N,P,I,3,6,3.8,LULUS,TM
OM221,3.3,62250,100,N,P,I,4,4,3,LULUS,TS
BM230,3.17,62250,100,N,P,I,4,7,3.42,LULUS,TM
BM220,2.38,62250,100,N,L,I,4,4,2.75,GAGAL,MD
BM223,3.1,62250,100,N,P,I,4,5,3.25,LULUS,TM
HM221,3.13,62250,100,N,P,I,5,5,2.75,LULUS,TM
CT226,3.1,62250,100,N,P,I,8,4,2.5,LULUS,TM
HM240,0,62250,100,N,P,I,8,2,3.17,GAGAL,MD
AM228,1.48,62150,100,N,P,I,2,4,2.83,GAGAL,D1
AM228,3.14,62150,100,N,P,I,4,3,3.17,LULUS,TM
OM221,3.24,62150,100,N,P,I,6,3,3.9,LULUS,TS
AD222,3.15,62100,100,N,P,I,6,2,2.42,LULUS,TM
OM221,3.42,60000,100,N,P,I,4,2,2.5,LULUS,TS
BM236,3.17,59200,100,N,P,I,1,2,2.67,LULUS,TS
OM224,0,59200,100,N,P,I,1,3,2.83,GAGAL,MD
BM232,3.69,59200,100,N,P,I,2,2,3.5,LULUS,TS
BM224,3.27,59200,100,N,L,I,2,2,2.75,LULUS,TM
AP221,3.03,59200,100,N,L,I,4,7,2.75,LULUS,TM
CT223,3.04,59200,100,N,L,I,4,3,2.17,GAGAL,LU
AP230,2.81,59200,100,N,P,I,5,2,2.58,LULUS,TM
BM230,3.12,59200,100,N,P,I,6,5,2.58,LULUS,TS
AM228,2.96,59200,100,N,P,I,7,7,2.67,LULUS,TM
OM221,3.34,59200,100,N,P,I,7,3,3,LULUS,TM
AS201,3.41,59100,100,N,P,I,7,8,3.25,LULUS,TM
SR223,2.78,59000,100,N,L,I,7,4,2.59,LULUS,TM
AD221,3.3,57100,100,N,P,I,3,2,3.25,LULUS,TM
CT224,3.27,57100,100,N,P,I,4,2,3.8,LULUS,TM
AP230,0,57100,100,N,L,I,5,6,2.84,GAGAL,MD
BM230,3.32,57000,100,N,L,I,4,4,2.42,LULUS,TM
BM224,3.26,57000,100,N,P,I,4,6,3,LULUS,TM
BM220,3.17,57000,100,N,P,I,6,2,2.83,LULUS,TM
IM225,3.49,57000,100,N,P,I,7,5,3.8,LULUS,TS
MC224,3.05,56100,100,N,L,I,0,2,2.34,LULUS,TM
MC225,3.17,56100,100,N,P,I,1,4,2.67,LULUS,TM
OM221,3.36,56100,100,N,P,I,2,2,3,LULUS,TM
BM222,3.18,56100,100,N,P,I,3,2,2.67,LULUS,TM
AP230,2.84,56100,100,N,L,I,4,3,2.34,LULUS,TM
BM223,3.27,56100,100,N,L,I,4,5,3.25,LULUS,TM
BM230,2.95,56100,100,N,P,I,6,5,2.83,LULUS,TM
HM225,3.22,56100,100,N,P,I,6,7,2.67,LULUS,TM
BM224,3.39,56000,100,N,P,I,2,7,2.58,LULUS,TM
OM221,3.57,56000,100,N,P,I,2,3,2.33,LULUS,TS
BM222,3.12,56000,100,N,P,I,2,7,2.5,LULUS,TM
BM232,3.31,56000,100,N,P,I,3,5,2.5,LULUS,TS
BM229,3.68,56000,100,N,P,I,3,4,3.75,LULUS,TM
HM220,3.14,56000,100,N,P,I,4,2,2.92,LULUS,TS
AM228,3.31,56000,100,N,P,I,5,6,3.25,LULUS,TM
BM220,2.78,56000,100,N,P,I,5,4,2.75,LULUS,TM
IM220,3.12,56000,100,N,P,I,6,5,2.92,LULUS,TS
BM223,3.52,56000,100,N,P,I,9,5,3.17,LULUS,TM
MC222,3.06,55200,100,N,L,I,2,7,2.58,LULUS,TS
BM223,3.39,55200,1005,N,P,K,8,5,3.17,LULUS,TM
IM225,3.11,55100,100,N,P,I,3,2,2.75,LULUS,TS
MC222,3.19,55100,100,N,P,I,5,4,2.25,LULUS,TS
BM220,1.88,55100,101,N,L,I,5,1,2.67,GAGAL,D5
MC222,3.63,55100,100,N,P,I,6,8,2.25,LULUS,TS
BM223,3,55100,100,N,P,I,6,2,2.42,LULUS,TM
BM224,3.04,55000,100,N,P,I,4,4,2.83,LULUS,TM
MC222,0,54200,100,N,P,I,0,3,2.75,GAGAL,D7
OM221,2.89,54200,100,N,P,I,1,2,2.92,LULUS,TM
BM220,2.95,54200,100,N,L,I,2,7,2.92,LULUS,TM
BM224,3.29,54200,100,N,P,I,3,3,3.8,LULUS,TM
OM222,3.25,54200,100,N,P,I,4,5,2.33,LULUS,TS
AD244,3,54200,100,N,L,I,4,3,3.25,GAGAL,LU
MC222,3.51,54200,100,N,P,I,7,5,2.67,LULUS,TM
MC221,3.27,54100,100,N,L,I,4,3,3.17,LULUS,TS
BM220,2.84,54000,100,N,P,I,3,2,2.59,LULUS,TM
BM230,2.83,54000,100,N,P,I,5,1,3.33,LULUS,TM
BM220,3.55,53300,100,N,P,I,1,3,3.9,LULUS,TM
IM221,3.29,53300,100,N,L,I,2,5,2.75,LULUS,TS
IM222,2.99,53300,100,N,L,I,2,6,2.75,LULUS,TS
MC223,2.86,53300,100,N,L,I,3,3,2.58,LULUS,TM
IM220,2.83,53300,100,N,P,I,4,2,2.75,LULUS,TM
MC223,3.68,53300,100,N,P,I,4,3,3.42,LULUS,ANC
HM225,3.11,53300,100,N,L,I,4,3,2.92,LULUS,TM
BM229,3.28,53300,100,N,P,I,4,0,3.17,LULUS,TM
LG221,3.41,53300,100,N,P,I,4,7,2.92,LULUS,TS
MC223,3.71,53300,100,N,P,I,5,0,2.17,LULUS,ANC
BM223,3.4,53300,100,N,P,I,6,4,2.67,LULUS,TM
BM222,2.75,53300,100,N,P,I,6,3,2.92,LULUS,TM
OM223,2.04,53300,100,N,L,I,10,4,2.09,GAGAL,LU
AP236,1.96,53200,100,N,P,I,4,3,2.59,GAGAL,P1
BM223,3.25,53200,700,N,P,I,6,3,3.9,LULUS,TM
BM222,3.65,53100,100,R,P,I,1,2,3.67,LULUS,ANC
AM228,2.82,53100,100,N,L,I,2,4,2.92,LULUS,TM
BM216,2.71,53100,100,N,L,I,2,3,2.5,LULUS,TM
MC223,3.82,53100,100,N,L,I,5,6,2.17,LULUS,ANC
BM224,3.07,53100,100,N,P,I,5,4,2.58,LULUS,TM
FF223,1.45,53100,100,N,L,I,5,8,2.09,GAGAL,D1
BM230,2.85,53100,100,N,P,I,6,2,2.42,LULUS,TM
BM236,3.08,53100,100,N,P,I,6,3,3.17,LULUS,TM
OM222,3,53100,100,N,L,I,7,4,2.59,LULUS,TS
BM230,2.82,53100,100,N,P,I,7,3,3.17,GAGAL,LU
MC228,3.08,53100,100,N,P,I,7,2,2.17,LULUS,TM
BM230,3.03,53100,100,N,L,I,7,0,2.75,LULUS,TM
HM221,2.67,53100,100,N,L,I,7,2,2.75,LULUS,TM
BM232,3.46,53100,100,N,L,I,8,3,2.42,LULUS,TM
BM221,2.91,53000,100,N,P,I,3,6,2.67,LULUS,TM
MC224,3.38,53000,100,N,L,I,4,3,2.67,LULUS,TS
IM221,3.54,53000,100,N,L,I,5,7,3,LULUS,TS
LG220,3.28,53000,500,N,P,I,6,6,2.75,LULUS,TS
BM223,2.9,53000,100,N,P,I,7,5,2.58,LULUS,TM
BM230,3.1,52100,100,N,P,I,1,2,3.42,LULUS,TM
LG220,3.15,52100,100,N,L,I,3,6,2.5,LULUS,TS
AP230,3.16,52100,100,N,P,I,3,2,2.59,LULUS,TM
MC224,3.54,52100,100,N,P,I,5,4,2.84,LULUS,TS
MC221,3.4,52100,100,N,L,I,5,2,3.25,LULUS,TM
BM225,2.84,52000,100,N,L,I,5,3,2.75,LULUS,TM
MC224,3.62,52000,100,N,P,I,5,4,3.8,LULUS,TS
IM226,3.26,51200,100,N,P,I,4,4,2.42,LULUS,TS
BM222,2.86,51200,100,N,P,I,6,4,2.92,LULUS,TM
BM222,3.03,51110,100,N,P,I,4,3,3,LULUS,TM
OM222,3.02,51100,100,N,P,I,1,3,2.83,LULUS,TS
BM220,3.23,51100,100,N,P,I,4,2,3,LULUS,TM
BM220,3.3,51100,100,N,P,I,4,4,2.84,LULUS,TM
BM230,2.93,51100,100,N,L,I,5,2,3,LULUS,TM
BM230,2.83,51100,100,R,P,I,5,5,2.92,LULUS,TM
LG221,2.81,51000,100,N,L,I,2,4,2.33,LULUS,TM
HM221,3.23,51000,100,N,L,I,3,4,2.92,LULUS,TM
BM222,3.11,51000,100,N,L,I,5,3,2.92,LULUS,TM
AP236,3.14,51000,100,N,P,I,6,4,2.75,LULUS,TM
BM223,3.31,51000,100,N,P,I,6,3,3.17,LULUS,TM
IM222,2.94,51000,100,N,P,I,7,5,2.5,LULUS,TM
OM221,2.9,50480,100,N,L,I,4,4,2.84,LULUS,TM
BM224,3.43,50480,100,N,P,I,7,6,2.67,LULUS,TM
BM220,3.53,50460,100,N,P,I,5,7,2.92,LULUS,TM
AM228,2.97,50450,1005,N,P,K,3,2,2.67,LULUS,TM
BM223,3.18,50300,100,N,L,I,3,2,3.8,LULUS,TM
ED226,3.33,48300,100,N,P,I,1,1,2.75,LULUS,TM
OM221,2.72,48300,100,K,L,I,3,3,2,LULUS,TM
BM224,2.89,48300,100,N,L,I,3,2,2.75,LULUS,TM
BM221,3,48300,100,N,P,I,3,2,2.75,LULUS,TM
AM228,3.1,48300,100,N,L,I,5,4,2.5,LULUS,TS
BM220,3.32,48300,100,N,L,I,6,3,2.59,LULUS,TM
AD226,3.1,48300,100,N,L,I,6,2,3,LULUS,TM
HM221,3.09,48300,100,N,P,I,6,6,2.75,LULUS,TM
AM228,2.96,48300,100,N,P,I,7,3,2.83,LULUS,TM
BM223,3,48200,100,N,P,I,3,3,3.17,LULUS,TM
BM220,2.92,48200,100,N,P,I,5,2,2.67,LULUS,TM
BM220,3.25,48100,100,N,P,I,7,3,3.25,LULUS,TM
MC222,3.46,48050,100,N,L,I,0,0,2.92,LULUS,TS
BM223,3.36,48050,100,N,P,I,0,0,3.33,LULUS,TM
OM222,2.75,48050,100,N,L,I,2,2,3.9,LULUS,TS
AM228,2.76,48050,100,N,L,I,3,2,3.9,LULUS,TM
BM223,3.12,48050,100,N,P,I,4,1,3.34,LULUS,TM
IM222,2.86,48050,100,N,L,I,4,3,2.59,LULUS,TM
BM230,3.44,48050,100,N,L,I,4,4,3.25,LULUS,TM
MC225,3.18,48050,100,N,P,I,5,2,2.67,LULUS,TS
HM225,3.19,48050,100,N,L,I,5,3,2.92,LULUS,TM
IM224,3.17,48050,100,N,P,I,6,3,3.25,LULUS,TS
CT224,2.91,48050,100,N,P,I,6,3,2.5,LULUS,TM
BM226,3.21,48050,100,N,P,I,7,4,3.9,LULUS,TM
BM223,2,48050,100,N,P,I,7,3,2.5,GAGAL,LU
BM234,3.21,48020,100,N,P,I,5,4,2.92,LULUS,TS
HM221,2.89,48020,100,N,P,I,6,6,2.67,LULUS,TM
AD227,3.07,48020,100,N,P,I,7,3,2.25,LULUS,TM
AP229,3.08,48020,100,N,P,I,7,3,2.83,LULUS,TM
BM223,3.21,48010,100,N,P,I,4,7,3.25,LULUS,TM
IM226,3.51,48010,100,N,P,I,4,4,3.8,LULUS,TS
SR243,3.04,48000,100,N,P,I,2,5,2.5,GAGAL,LU
MC222,3.17,48000,100,N,P,I,3,2,2.84,LULUS,TM
BM230,2.92,48000,100,N,P,I,3,5,2.34,LULUS,TM
OM221,2.82,48000,100,N,P,I,3,3,2.83,LULUS,TS
OM221,3.11,48000,100,N,P,I,4,2,2.92,LULUS,TM
BM223,2.91,48000,100,N,P,I,4,3,2.59,LULUS,TM
BM220,3.58,48000,100,N,L,I,6,7,2.59,LULUS,TM
BM220,3.31,48000,100,N,P,I,7,3,2.58,LULUS,TM
OM221,2.88,48000,806,N,P,I,7,1,2.84,LULUS,TM
BM230,2.66,47810,100,N,P,I,5,4,2.75,LULUS,TM
BM230,3.27,47810,100,N,P,I,8,9,3.25,LULUS,TM
OM222,3.12,47630,100,N,P,I,4,2,3.17,LULUS,TS
HM221,3.28,47610,100,N,P,I,6,2,2.67,LULUS,TS
BM230,0,47600,100,N,P,I,2,4,2.33,GAGAL,MD
AD247,3.35,47500,100,N,L,I,2,7,2.9,LULUS,TS
FF223,0,47410,100,N,L,I,5,2,2.25,GAGAL,MD
BM229,3.35,47400,100,N,L,I,2,3,3.59,LULUS,TM
AD227,3.06,47310,100,N,P,I,8,2,2.75,LULUS,TM
BM222,2.79,47301,100,N,P,I,4,3,2.58,LULUS,TM
BM223,3.21,47301,100,N,P,I,5,2,2.5,LULUS,TM
MC221,3.06,47210,100,N,P,I,5,3,2.42,LULUS,TS
AM228,2.9,47160,100,N,L,I,2,7,3,LULUS,TM
BM223,3.27,47150,100,N,P,I,7,3,3.17,LULUS,TM
BM224,3.35,47150,100,N,P,I,9,4,2.67,LULUS,TM
LG221,3.27,47130,100,N,P,I,4,2,3,LULUS,TM
BM232,3.11,47130,100,N,P,I,4,7,2.42,LULUS,TS
BM220,1.5,47100,100,N,P,I,2,3,2.67,GAGAL,D1
BM221,3.91,47100,100,N,P,I,2,2,2.67,LULUS,ANC
BM220,2.96,47100,100,N,P,I,3,3,2.83,LULUS,TM
BM222,3.11,47100,100,N,P,I,5,5,3.25,LULUS,TM
CS220,3.12,47100,100,N,L,I,5,3,3.17,LULUS,TM
AM228,3.03,47100,100,N,P,I,5,4,2.75,LULUS,TM
BM232,2.85,47100,100,N,P,I,5,2,2.5,LULUS,TS
LG221,3.42,47100,100,N,P,I,6,4,3.58,LULUS,TS
OM221,3.6,47000,100,N,P,I,1,1,3.8,LULUS,ANC
SR221,3.05,47000,100,N,P,I,1,3,2.92,LULUS,TM
BM220,0,47000,100,N,L,I,2,4,2.67,GAGAL,MD
AD230,3.19,47000,100,N,P,I,2,2,2.75,LULUS,TM
OM224,3.19,47000,100,N,P,I,3,4,2.67,LULUS,TM
HM222,2.74,47000,100,N,P,I,3,4,2.5,LULUS,TM
HM225,3.46,47000,100,N,P,I,4,4,2.75,LULUS,TS
HM220,3.09,47000,100,N,P,I,4,5,3,LULUS,TM
IM224,3.4,47000,100,N,P,I,4,2,2.5,LULUS,TS
CT224,3.43,47000,100,N,P,I,4,4,2.92,LULUS,TS
BM224,2.96,47000,100,N,P,I,4,2,2.42,LULUS,TM
BM232,3.38,47000,100,N,L,I,5,6,2.92,LULUS,TS
BM221,3.16,47000,100,N,P,I,5,4,2.92,LULUS,TM
OM221,2.51,47000,100,N,P,I,7,3,2.92,LULUS,TM
